,resource,resource_type,direct_access,description,experiment,case,component,stream,variable,date_range,ensemble,file_fullpath,file_basename,file_dirname,ctrl_branch_year,year_offset,sequence_order,has_ocean_bgc,grid
0,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,IRON_FLUX,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.IRON_FLUX.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.IRON_FLUX.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
1,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,MELTH_F,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.MELTH_F.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.MELTH_F.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
2,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,Lig_deg,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.Lig_deg.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.Lig_deg.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
3,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,sp_Fe_lim_surf,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.sp_Fe_lim_surf.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.sp_Fe_lim_surf.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
4,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,H2CO3,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.H2CO3.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.H2CO3.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
5,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,diat_Qp,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.diat_Qp.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.diat_Qp.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
6,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,RHO_VINT,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.RHO_VINT.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.RHO_VINT.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
7,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,ECOSYS_XKW,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.ECOSYS_XKW.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.ECOSYS_XKW.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
8,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,O2SAT,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.O2SAT.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.O2SAT.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
9,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,TFW_S,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.TFW_S.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.TFW_S.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
